,Jaccard (Baseline),Jaccard (VS simples),Jaccard (VS agressivo),Perplexity (Baseline),Perplexity (VS simples),Perplexity (VS agressivo),Self-Bleu (Baseline),Self-Bleu (VS simples),Self-Bleu (VS agressivo),Distinct-1 (Baseline),Distinct-1 (VS simples),Distinct-1 (VS agressivo),Distinct-2 (Baseline),Distinct-2 (VS simples),Distinct-2 (VS agressivo)
deepseek-ai/deepseek-v4-pro,0.020833333333333332,0.01694915254237288,0.017241379310344827,113.08123779296875,118.92634582519531,143.21743774414062,0.481076482678632,0.6923903025777928,0.6305192996180291,0.05263157894736842,0.019659936238044632,0.01684836471754212,0.34363636363636363,0.16533758639021798,0.15716410510659395
z-ai/glm-5.1,0.07547169811320754,0.0,0.01694915254237288,175.5284881591797,72.21882629394531,104.39376831054688,0.5172622978667892,0.6832862782457879,0.6741660250293419,0.045133991537376586,0.028277634961439587,0.01994750656167979,0.3064971751412429,0.2118353344768439,0.1722689075630252
meta/llama-4-maverick-17b-128e-instruct,0.022222222222222223,0.0,0.02127659574468085,138.82308959960938,115.1180191040039,76.15021514892578,0.40894916003837184,0.7419943320986924,0.7194673426305881,0.06739130434782609,0.022006472491909384,0.02723404255319149,0.39651416122004357,0.16904145077720206,0.20017035775127767
